

 *** contingency     1 : increase load 0.0%                      

    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency     4 : increase load 0.030303030303030276%     

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency     5 : increase load 0.04040404040404044%      

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency     6 : increase load 0.05050505050505061%      

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency     7 : increase load 0.06060606060606055%      

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency     8 : increase load 0.07070707070707072%      

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency     9 : increase load 0.08080808080808088%      

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    10 : increase load 0.09090909090909083%      

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    11 : increase load 0.101010101010101%        

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    12 : increase load 0.11111111111111116%      

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    13 : increase load 0.1212121212121211%       

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    14 : increase load 0.13131313131313127%      

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    15 : increase load 0.14141414141414144%      

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    16 : increase load 0.1515151515151516%       

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    17 : increase load 0.16161616161616155%      

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
    voltage at bus B308     = 1.01407 > 0.95000 pu
    voltage at bus B309     = 1.01372 > 0.95000 pu
    voltage at bus B310     = 1.03837 > 0.95000 pu
    voltage at bus B311     = 1.04969 > 0.95000 pu
    voltage at bus B313     = 1.01889 > 0.95000 pu
    voltage at bus E1       = 1.07000 > 0.95000 pu
    voltage at bus E2       = 1.07000 > 0.95000 pu
    voltage at bus E3       = 1.07000 > 0.95000 pu
    => refused


 *** contingency    18 : increase load 0.1717171717171717%       

    voltage at bus G1       = 1.00000 > 0.95000 pu
    voltage at bus G2       = 1.00000 > 0.95000 pu
    voltage at bus G3       = 0.99000 > 0.95000 pu
    voltage at bus G4       = 0.99000 > 0.95000 pu
    voltage at bus G5       = 0.99000 > 0.95000 pu
    voltage at bus G6       = 1.01000 > 0.95000 pu
    voltage at bus B101     = 1.03097 > 0.95000 pu
    voltage at bus B102     = 0.99212 > 0.95000 pu
    voltage at bus B103     = 0.98816 > 0.95000 pu
    voltage at bus B104     = 0.97822 > 0.95000 pu
    voltage at bus B105     = 1.01476 > 0.95000 pu
    voltage at bus B106     = 1.00227 > 0.95000 pu
    voltage at bus B107     = 1.04838 > 0.95000 pu
    voltage at bus B301     = 0.99932 > 0.95000 pu
    voltage at bus B302     = 0.99731 > 0.95000 pu
    voltage at bus B303     = 0.98825 > 0.95000 pu
    voltage at bus B304     = 0.99468 > 0.95000 pu
    voltage at bus B305     = 0.98945 > 0.95000 pu
    voltage at bus B306     = 1.00642 > 0.95000 pu
    voltage at bus B307     = 0.99457 > 0.95000 pu
